,Model,Number of Features,Number of con,Number of cat,Accuracy,Precision,Recall,F1-Score
963,K-Nearest Neighbor,27,18,9,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
964,Support Vector Machines,27,18,9,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
965,Naive Bayes,27,18,9,0.9199999999999999,0.95,0.9,0.9047619047619048
966,K-Nearest Neighbor,27,19,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
967,Support Vector Machines,27,19,8,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
968,Naive Bayes,27,19,8,0.8800000000000001,0.85,0.9,0.838095238095238
969,K-Nearest Neighbor,27,20,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
970,Support Vector Machines,27,20,7,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
971,Naive Bayes,27,20,7,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
972,K-Nearest Neighbor,27,21,6,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
973,Support Vector Machines,27,21,6,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
974,Naive Bayes,27,21,6,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
975,K-Nearest Neighbor,27,22,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
976,Support Vector Machines,27,22,5,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
977,Naive Bayes,27,22,5,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
978,K-Nearest Neighbor,27,23,4,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
979,Support Vector Machines,27,23,4,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
980,Naive Bayes,27,23,4,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
981,K-Nearest Neighbor,27,24,3,0.76,0.6499999999999999,0.9,0.7447619047619047
982,Support Vector Machines,27,24,3,0.8,0.7666666666666666,0.8333333333333333,0.76
983,Naive Bayes,27,24,3,0.8799999999999999,0.8833333333333334,0.9,0.8647619047619047
984,K-Nearest Neighbor,27,25,2,0.72,0.6499999999999999,0.8333333333333333,0.7047619047619047
985,Support Vector Machines,27,25,2,0.64,0.6666666666666666,0.7,0.6133333333333333
986,Naive Bayes,27,25,2,0.8400000000000001,0.7833333333333333,0.9,0.8314285714285715
987,K-Nearest Neighbor,27,26,1,0.6,0.5666666666666667,0.7666666666666666,0.6066666666666667
988,Support Vector Machines,27,26,1,0.64,0.6666666666666666,0.7,0.6133333333333333
989,Naive Bayes,27,26,1,0.72,0.65,0.5666666666666667,0.5380952380952381
990,K-Nearest Neighbor,28,8,20,0.72,0.6333333333333333,0.6,0.5533333333333333
991,Support Vector Machines,28,8,20,0.68,0.7333333333333332,0.7,0.6266666666666666
992,Naive Bayes,28,8,20,0.8400000000000001,0.75,0.7,0.7047619047619047
993,K-Nearest Neighbor,28,9,19,0.72,0.6333333333333333,0.6,0.5533333333333333
994,Support Vector Machines,28,9,19,0.68,0.7333333333333332,0.7,0.6266666666666666
995,Naive Bayes,28,9,19,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
996,K-Nearest Neighbor,28,10,18,0.72,0.6333333333333333,0.6,0.5533333333333333
997,Support Vector Machines,28,10,18,0.68,0.7333333333333332,0.7,0.6266666666666666
998,Naive Bayes,28,10,18,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
999,K-Nearest Neighbor,28,11,17,0.72,0.6333333333333333,0.6,0.5533333333333333
1000,Support Vector Machines,28,11,17,0.68,0.7333333333333332,0.7,0.6266666666666666
1001,Naive Bayes,28,11,17,0.8,0.7333333333333333,0.6333333333333333,0.6666666666666666
1002,K-Nearest Neighbor,28,12,16,0.6799999999999999,0.5999999999999999,0.6,0.52
1003,Support Vector Machines,28,12,16,0.68,0.7333333333333332,0.7,0.6266666666666666
1004,Naive Bayes,28,12,16,0.8800000000000001,0.85,0.9,0.838095238095238
1005,K-Nearest Neighbor,28,13,15,0.6799999999999999,0.5499999999999999,0.6666666666666666,0.5314285714285715
1006,Support Vector Machines,28,13,15,0.68,0.7333333333333332,0.7,0.6266666666666666
1007,Naive Bayes,28,13,15,0.8800000000000001,0.95,0.8333333333333333,0.8647619047619048
1008,K-Nearest Neighbor,28,14,14,0.72,0.5833333333333333,0.6666666666666666,0.5647619047619047
1009,Support Vector Machines,28,14,14,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1010,Naive Bayes,28,14,14,0.8400000000000001,0.95,0.7666666666666666,0.8047619047619048
1011,K-Nearest Neighbor,28,15,13,0.72,0.7499999999999999,0.7666666666666666,0.6647619047619047
1012,Support Vector Machines,28,15,13,0.6799999999999999,0.6499999999999999,0.7666666666666666,0.6314285714285715
1013,Naive Bayes,28,15,13,0.8400000000000001,0.75,0.9,0.8047619047619048
1014,K-Nearest Neighbor,28,16,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
1015,Support Vector Machines,28,16,12,0.76,0.7833333333333333,0.7666666666666666,0.6980952380952381
